name,address,lat,lng,rating,userRatingCount,priceLevel,website
El Borrego Viudo,"Av. Revolución 241, Tacubaya, Miguel Hidalgo, 11870 Ciudad de México, CDMX, Mexico",19.3994135,-99.1852371,4.2,42580.0,PRICE_LEVEL_MODERATE,http://www.taqueriaelborregoviudo.mx/
Tortas Gigantes Sur 12,"Av Sur 12 277, Agrícola Oriental, Iztacalco, 08500 Ciudad de México, CDMX, Mexico",19.3970207,-99.0719042,4.3,33015.0,PRICE_LEVEL_MODERATE,
Los Especiales,"Av Francisco I. Madero 71, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",19.4331589,-99.13459,4.3,23855.0,PRICE_LEVEL_INEXPENSIVE,
Taquerías el Fogón,"Av. Dr. Gustavo Baz 193B, El Mirador, 54080 Tlalnepantla, Méx., Mexico",19.5168646,-99.2147582,4.5,23473.0,PRICE_LEVEL_MODERATE,
"Pa’Tacos ""El Papi""","Ote 91 3229, Mártires de Río Blanco, Gustavo A. Madero, 07880 Ciudad de México, CDMX, Mexico",19.4605565,-99.1113377,4.5,19153.0,PRICE_LEVEL_INEXPENSIVE,https://www.facebook.com/Tacos-El-Papi-217366711739818/
Tacos Chupacabras,"Av. Río Churubusco Av, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX, Mexico",19.3585498,-99.1696584,4.2,17789.0,PRICE_LEVEL_INEXPENSIVE,
Tortas El Paisa,"La Coruña 302, Viaducto Piedad, Iztacalco, 08200 Ciudad de México, CDMX, Mexico",19.4010841,-99.1314482,4.3,15280.0,PRICE_LEVEL_MODERATE,
La Casa de Toño,"Av. Montevideo 363-201, Lindavista, Gustavo A. Madero, 07300 Ciudad de México, CDMX, Mexico",19.4910066,-99.133694,4.4,14973.0,PRICE_LEVEL_INEXPENSIVE,https://sucursales.lacasadetono.mx/cdmx/gustavo-a-madero/lindavista/plaza-lindavista
La Casa de Toño,"Canal Río Churubusco 1635, CEDA, Iztapalapa, 09040 Ciudad de México, CDMX, Mexico",19.37641,-99.0955756,4.4,14785.0,PRICE_LEVEL_INEXPENSIVE,
El Vilsito,"Petén 248 y, Av. Universidad, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",19.3893341,-99.1527936,4.3,14732.0,PRICE_LEVEL_MODERATE,https://el-vilsito.shop/
Taquería Orinoco,"Av. Álvaro Obregón 100, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.4181699,-99.1592295,4.5,14508.0,PRICE_LEVEL_MODERATE,http://www.taqueriaorinoco.com/
Tacos Los Güeros,"Lorenzo Boturini 4354, Aeronáutica Militar, Venustiano Carranza, 15980 Ciudad de México, CDMX, Mexico",19.4167134,-99.1172412,4.1,14272.0,PRICE_LEVEL_MODERATE,
Vips,"Av. Miguel Othón de Mendizábal Ote. 343, Col, Nueva Industrial Vallejo, Gustavo A. Madero, 07700 Ciudad de México, CDMX, Mexico",19.5065302,-99.1460622,4.0,14054.0,PRICE_LEVEL_MODERATE,https://vips.com.mx/
Restaurante Taquería Los Cocuyos Cdmx,"Simón Bolívar 59, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",19.4302794,-99.1387977,4.1,12211.0,PRICE_LEVEL_INEXPENSIVE,
Taqueria Arandas,"Av. 5 de Mayo 46, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",19.4343233,-99.1358652,4.2,10582.0,PRICE_LEVEL_INEXPENSIVE,
Mochomos,"Av. Paseo de las Palmas 781, Lomas de Chapultepec, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",19.4292347,-99.2163864,4.9,10499.0,PRICE_LEVEL_EXPENSIVE,http://mochomos.mx/
Taquería El Califa,"Av. P.º de la Reforma 382, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico",19.4255715,-99.1694757,4.3,9685.0,PRICE_LEVEL_MODERATE,https://www.elcalifa.com.mx/
La casa de Toño,"Local JA-01. Col. Alc, Av. Tlahuac 4409, Lomas Estrella 2da Secc, Iztapalapa, 09890 Ciudad de México, CDMX, Mexico",19.321449,-99.0939636,4.3,8812.0,PRICE_LEVEL_INEXPENSIVE,http://lacasadetono.mx/
La Casa de Toño en Las Águilas,"Calz. de las Águilas 1019, Amp Águilas, Álvaro Obregón, 01759 Ciudad de México, CDMX, Mexico",19.3504268,-99.2215177,4.4,8732.0,PRICE_LEVEL_INEXPENSIVE,https://sucursales.lacasadetono.mx/cdmx/alvaro-obregon/las-aguilas-extension/las-aguilas
Tacos ''Las Muñecas'' Toltecas,"C. Toltecas 58, Pedregal de Santo Domingo, Coyoacán, 04369 Ciudad de México, CDMX, Mexico",19.3222721,-99.1635875,4.3,8602.0,PRICE_LEVEL_MODERATE,https://m.facebook.com/tacoslasmunecas/?locale2=es_LA
Tacos Manolo,"Luz Saviñon 1305, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",19.3906837,-99.1570749,4.3,8394.0,PRICE_LEVEL_MODERATE,https://www.facebook.com/373152882790878/
Tacos Los Güeros de la Moctezuma,"Av Emilio Carranza, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX, Mexico",19.4304764,-99.100191,4.4,8235.0,PRICE_LEVEL_MODERATE,http://www.facebook.com/226679224009038
